"peak_index","seqnames","start","end","width","strand","name","peak_detection"
2264,"chr1",36243913,36244728,816,"*","chr1:36243913-36244728",3924
2275,"chr1",36273255,36273887,633,"*","chr1:36273255-36273887",2063
2282,"chr1",36307568,36308454,887,"*","chr1:36307568-36308454",4970
2294,"chr1",36356865,36357879,1015,"*","chr1:36356865-36357879",2836
2296,"chr1",36367799,36369564,1766,"*","chr1:36367799-36369564",3893
2310,"chr1",36444753,36445707,955,"*","chr1:36444753-36445707",5484
2314,"chr1",36471301,36472221,921,"*","chr1:36471301-36472221",4800
2319,"chr1",36478309,36479198,890,"*","chr1:36478309-36479198",1906
2326,"chr1",36492471,36493023,553,"*","chr1:36492471-36493023",2039
2331,"chr1",36511546,36513037,1492,"*","chr1:36511546-36513037",8573
2341,"chr1",36538979,36539801,823,"*","chr1:36538979-36539801",3667
2342,"chr1",36546934,36547792,859,"*","chr1:36546934-36547792",8209
2344,"chr1",36556076,36559173,3098,"*","chr1:36556076-36559173",7224
2354,"chr1",36580041,36581226,1186,"*","chr1:36580041-36581226",2500
2357,"chr1",36588547,36590404,1858,"*","chr1:36588547-36590404",1908
2385,"chr1",36683579,36684660,1082,"*","chr1:36683579-36684660",1950
2386,"chr1",36691125,36691915,791,"*","chr1:36691125-36691915",4991
2390,"chr1",36709445,36710430,986,"*","chr1:36709445-36710430",6078
2462,"chr1",36939215,36940312,1098,"*","chr1:36939215-36940312",6057
2528,"chr1",37299701,37300596,896,"*","chr1:37299701-37300596",3868
2564,"chr1",37429683,37430896,1214,"*","chr1:37429683-37430896",5857
2583,"chr1",37511987,37513625,1639,"*","chr1:37511987-37513625",4341
2593,"chr1",37540821,37541635,815,"*","chr1:37540821-37541635",4141
2639,"chr1",37864590,37865657,1068,"*","chr1:37864590-37865657",14165
2640,"chr1",37871754,37872729,976,"*","chr1:37871754-37872729",3878
2641,"chr1",37890181,37890858,678,"*","chr1:37890181-37890858",3850
2657,"chr1",37996993,37997724,732,"*","chr1:37996993-37997724",8609
2658,"chr1",37998007,37998429,423,"*","chr1:37998007-37998429",4292
2667,"chr1",38129282,38130454,1173,"*","chr1:38129282-38130454",7973
2720,"chr1",38439429,38440914,1486,"*","chr1:38439429-38440914",1767
2757,"chr1",38626618,38628683,2066,"*","chr1:38626618-38628683",2251
2784,"chr1",38766628,38767859,1232,"*","chr1:38766628-38767859",1886
2803,"chr1",38987219,38988326,1108,"*","chr1:38987219-38988326",8062
2836,"chr1",39186692,39187532,841,"*","chr1:39186692-39187532",1983
2837,"chr1",39192514,39193285,772,"*","chr1:39192514-39193285",1953
2874,"chr1",39367425,39368414,990,"*","chr1:39367425-39368414",6527
2906,"chr1",39478230,39479240,1011,"*","chr1:39478230-39479240",5094
2920,"chr1",39535478,39536506,1029,"*","chr1:39535478-39536506",5482
2933,"chr1",39576494,39577868,1375,"*","chr1:39576494-39577868",5711
2966,"chr1",39713863,39714904,1042,"*","chr1:39713863-39714904",2819
2973,"chr1",39735929,39736830,902,"*","chr1:39735929-39736830",2030
2981,"chr1",39761339,39762535,1197,"*","chr1:39761339-39762535",3305
3003,"chr1",39900315,39902617,2303,"*","chr1:39900315-39902617",4662
3014,"chr1",39936382,39937000,619,"*","chr1:39936382-39937000",2160
3103,"chr1",40266170,40267199,1030,"*","chr1:40266170-40267199",1923
3171,"chr1",40680488,40683013,2526,"*","chr1:40680488-40683013",3419
3183,"chr1",40759693,40760600,908,"*","chr1:40759693-40760600",2393
3185,"chr1",40769555,40770627,1073,"*","chr1:40769555-40770627",2034
3191,"chr1",40785891,40786489,599,"*","chr1:40785891-40786489",2260
3192,"chr1",40790078,40791084,1007,"*","chr1:40790078-40791084",3049
3217,"chr1",40924381,40925458,1078,"*","chr1:40924381-40925458",3105
3238,"chr1",41157848,41158740,893,"*","chr1:41157848-41158740",2006
3360,"chr1",42694081,42694705,625,"*","chr1:42694081-42694705",1906
3361,"chr1",42695506,42696116,611,"*","chr1:42695506-42696116",4672
3369,"chr1",42714335,42715077,743,"*","chr1:42714335-42715077",2515
3374,"chr1",42741648,42742760,1113,"*","chr1:42741648-42742760",4691
3377,"chr1",42755872,42756529,658,"*","chr1:42755872-42756529",1851
3382,"chr1",42775094,42775832,739,"*","chr1:42775094-42775832",1810
3394,"chr1",42850953,42851954,1002,"*","chr1:42850953-42851954",5919
3439,"chr1",43091526,43093243,1718,"*","chr1:43091526-43093243",3667
3440,"chr1",43098174,43099258,1085,"*","chr1:43098174-43099258",4777
3444,"chr1",43117287,43118027,741,"*","chr1:43117287-43118027",1802
3459,"chr1",43163228,43164809,1582,"*","chr1:43163228-43164809",4139
3476,"chr1",43224238,43226256,2019,"*","chr1:43224238-43226256",2445
3521,"chr1",43444885,43447607,2723,"*","chr1:43444885-43447607",5851
3573,"chr1",43694767,43695561,795,"*","chr1:43694767-43695561",1889
3590,"chr1",43827185,43828386,1202,"*","chr1:43827185-43828386",8885
3602,"chr1",43877821,43878781,961,"*","chr1:43877821-43878781",2619
3611,"chr1",43933339,43934546,1208,"*","chr1:43933339-43934546",9283
3621,"chr1",44101659,44102882,1224,"*","chr1:44101659-44102882",6205
3623,"chr1",44118514,44120485,1972,"*","chr1:44118514-44120485",10035
3624,"chr1",44147481,44148570,1090,"*","chr1:44147481-44148570",4796
3642,"chr1",44551411,44552942,1532,"*","chr1:44551411-44552942",2884
3729,"chr1",45794964,45796032,1069,"*","chr1:45794964-45796032",6627
3742,"chr1",45864617,45865803,1187,"*","chr1:45864617-45865803",1911
3762,"chr1",45925347,45926516,1170,"*","chr1:45925347-45926516",4177
3773,"chr1",46066547,46067495,949,"*","chr1:46066547-46067495",2878
3806,"chr1",46852842,46854675,1834,"*","chr1:46852842-46854675",11795
3860,"chr1",50926615,50928249,1635,"*","chr1:50926615-50928249",2043
3899,"chr1",51288777,51290561,1785,"*","chr1:51288777-51290561",2838
3908,"chr1",51333600,51334750,1151,"*","chr1:51333600-51334750",1982
3915,"chr1",51445330,51446649,1320,"*","chr1:51445330-51446649",1812
3922,"chr1",51477820,51479082,1263,"*","chr1:51477820-51479082",11488
3930,"chr1",51509216,51509711,496,"*","chr1:51509216-51509711",3599
3931,"chr1",51513104,51515631,2528,"*","chr1:51513104-51515631",4346
3934,"chr1",51529711,51530798,1088,"*","chr1:51529711-51530798",2451
3947,"chr1",51596839,51597518,680,"*","chr1:51596839-51597518",1884
4023,"chr1",51915017,51916341,1325,"*","chr1:51915017-51916341",3353
4051,"chr1",52113455,52114282,828,"*","chr1:52113455-52114282",5056
4052,"chr1",52119099,52120178,1080,"*","chr1:52119099-52120178",4445
4064,"chr1",52158122,52159323,1202,"*","chr1:52158122-52159323",1879
4076,"chr1",52232524,52233874,1351,"*","chr1:52232524-52233874",10679
4081,"chr1",52251046,52251767,722,"*","chr1:52251046-52251767",2584
4093,"chr1",52277971,52278798,828,"*","chr1:52277971-52278798",4377
4096,"chr1",52293140,52294219,1080,"*","chr1:52293140-52294219",2181
4125,"chr1",52499800,52501131,1332,"*","chr1:52499800-52501131",3343
4136,"chr1",52630614,52631431,818,"*","chr1:52630614-52631431",3698
4153,"chr1",52726282,52727814,1533,"*","chr1:52726282-52727814",2195
4170,"chr1",52816612,52818139,1528,"*","chr1:52816612-52818139",3389
4172,"chr1",52844662,52845493,832,"*","chr1:52844662-52845493",9558
4200,"chr1",53296784,53297573,790,"*","chr1:53296784-53297573",6679
4201,"chr1",53313267,53314155,889,"*","chr1:53313267-53314155",2770
4204,"chr1",53352400,53353142,743,"*","chr1:53352400-53353142",4879
4231,"chr1",53784421,53785699,1279,"*","chr1:53784421-53785699",4886
4297,"chr1",54250432,54251158,727,"*","chr1:54250432-54251158",5396
4308,"chr1",54438524,54439385,862,"*","chr1:54438524-54439385",2284
4316,"chr1",54557049,54558293,1245,"*","chr1:54557049-54558293",4514
4368,"chr1",54826401,54827264,864,"*","chr1:54826401-54827264",3789
4381,"chr1",54853585,54854253,669,"*","chr1:54853585-54854253",2264
4411,"chr1",54925767,54926995,1229,"*","chr1:54925767-54926995",3862
4419,"chr1",55026995,55027919,925,"*","chr1:55026995-55027919",5627
4423,"chr1",55052393,55053608,1216,"*","chr1:55052393-55053608",11376
4428,"chr1",55087135,55088664,1530,"*","chr1:55087135-55088664",10609
4431,"chr1",55130932,55132087,1156,"*","chr1:55130932-55132087",6650
4457,"chr1",55236977,55237743,767,"*","chr1:55236977-55237743",5290
4468,"chr1",55405578,55406600,1023,"*","chr1:55405578-55406600",7148
4534,"chr1",55699565,55700453,889,"*","chr1:55699565-55700453",2773
4536,"chr1",55706637,55707629,993,"*","chr1:55706637-55707629",4255
4594,"chr1",56539850,56540669,820,"*","chr1:56539850-56540669",2580
4642,"chr1",56972106,56973809,1704,"*","chr1:56972106-56973809",4489
4675,"chr1",57377372,57378467,1096,"*","chr1:57377372-57378467",4518
4679,"chr1",57406177,57407270,1094,"*","chr1:57406177-57407270",3099
4731,"chr1",57741903,57742801,899,"*","chr1:57741903-57742801",1855
4735,"chr1",57773381,57775849,2469,"*","chr1:57773381-57775849",5440
4769,"chr1",57969494,57970547,1054,"*","chr1:57969494-57970547",4231
4771,"chr1",57995703,57996440,738,"*","chr1:57995703-57996440",3603
4826,"chr1",58353468,58354111,644,"*","chr1:58353468-58354111",2286
4833,"chr1",58392218,58394153,1936,"*","chr1:58392218-58394153",7628
4840,"chr1",58423146,58424487,1342,"*","chr1:58423146-58424487",4657
4843,"chr1",58444957,58445948,992,"*","chr1:58444957-58445948",4527
4850,"chr1",58504513,58505437,925,"*","chr1:58504513-58505437",5495
4858,"chr1",58585636,58586935,1300,"*","chr1:58585636-58586935",4062
4863,"chr1",58614534,58615026,493,"*","chr1:58614534-58615026",2042
4869,"chr1",58652204,58653792,1589,"*","chr1:58652204-58653792",2401
4874,"chr1",58711261,58713589,2329,"*","chr1:58711261-58713589",8790
4881,"chr1",58733557,58734405,849,"*","chr1:58733557-58734405",3391
4898,"chr1",58795075,58796380,1306,"*","chr1:58795075-58796380",5181
4913,"chr1",58945478,58946472,995,"*","chr1:58945478-58946472",1786
4914,"chr1",58951106,58951850,745,"*","chr1:58951106-58951850",2782
4923,"chr1",58973064,58974382,1319,"*","chr1:58973064-58974382",9249
4940,"chr1",59119675,59120763,1089,"*","chr1:59119675-59120763",5267
4957,"chr1",59211597,59212927,1331,"*","chr1:59211597-59212927",2640
4961,"chr1",59236954,59238406,1453,"*","chr1:59236954-59238406",6519
4978,"chr1",59321734,59323006,1273,"*","chr1:59321734-59323006",1892
5009,"chr1",59436254,59436968,715,"*","chr1:59436254-59436968",2004
5025,"chr1",59481428,59482671,1244,"*","chr1:59481428-59482671",8897
5070,"chr1",59670071,59671389,1319,"*","chr1:59670071-59671389",3070
5071,"chr1",59684891,59685472,582,"*","chr1:59684891-59685472",3621
5082,"chr1",59762279,59764436,2158,"*","chr1:59762279-59764436",6451
5116,"chr1",59912559,59913393,835,"*","chr1:59912559-59913393",6402
5142,"chr1",60097620,60098866,1247,"*","chr1:60097620-60098866",6914
5154,"chr1",60180169,60181154,986,"*","chr1:60180169-60181154",10283
5158,"chr1",60343051,60343903,853,"*","chr1:60343051-60343903",5774
5164,"chr1",60409117,60410404,1288,"*","chr1:60409117-60410404",5023
5182,"chr1",60566163,60567537,1375,"*","chr1:60566163-60567537",5696
5355,"chr1",61638517,61640207,1691,"*","chr1:61638517-61640207",3246
5481,"chr1",62703088,62703899,812,"*","chr1:62703088-62703899",2124
5591,"chr1",63112885,63115014,2130,"*","chr1:63112885-63115014",7544
5595,"chr1",63123798,63124706,909,"*","chr1:63123798-63124706",3871
5598,"chr1",63176379,63177429,1051,"*","chr1:63176379-63177429",7016
5599,"chr1",63181203,63181550,348,"*","chr1:63181203-63181550",2665
5646,"chr1",63730221,63730983,763,"*","chr1:63730221-63730983",2498
5694,"chr1",64087948,64089113,1166,"*","chr1:64087948-64089113",2383
5704,"chr1",64121325,64122658,1334,"*","chr1:64121325-64122658",10619
5749,"chr1",64532176,64533823,1648,"*","chr1:64532176-64533823",10729
5763,"chr1",64616819,64618130,1312,"*","chr1:64616819-64618130",5788
5774,"chr1",64690526,64691618,1093,"*","chr1:64690526-64691618",9827
5783,"chr1",64737391,64738651,1261,"*","chr1:64737391-64738651",10140
5785,"chr1",64742742,64743493,752,"*","chr1:64742742-64743493",1855
5794,"chr1",64787675,64788354,680,"*","chr1:64787675-64788354",5127
5839,"chr1",64956438,64957562,1125,"*","chr1:64956438-64957562",1778
5865,"chr1",65118426,65119130,705,"*","chr1:65118426-65119130",2485
5873,"chr1",65154775,65155473,699,"*","chr1:65154775-65155473",2633
5876,"chr1",65178176,65179660,1485,"*","chr1:65178176-65179660",10368
5877,"chr1",65186341,65187203,863,"*","chr1:65186341-65187203",7536
5918,"chr1",66174909,66175870,962,"*","chr1:66174909-66175870",3805
5951,"chr1",66700492,66701430,939,"*","chr1:66700492-66701430",5092
5964,"chr1",66815976,66818224,2249,"*","chr1:66815976-66818224",9113
5967,"chr1",66831887,66833331,1445,"*","chr1:66831887-66833331",4245
5976,"chr1",66862507,66863738,1232,"*","chr1:66862507-66863738",5969
5981,"chr1",66895584,66896858,1275,"*","chr1:66895584-66896858",2258
6004,"chr1",67038516,67039269,754,"*","chr1:67038516-67039269",2786
6089,"chr1",69105772,69107602,1831,"*","chr1:69105772-69107602",4160
6130,"chr1",69687142,69688117,976,"*","chr1:69687142-69688117",3765
6190,"chr1",71102353,71103558,1206,"*","chr1:71102353-71103558",7784
6223,"chr1",71556902,71557827,926,"*","chr1:71556902-71557827",4727
6235,"chr1",71652725,71654114,1390,"*","chr1:71652725-71654114",2944
6340,"chr1",72225811,72226940,1130,"*","chr1:72225811-72226940",3298
6344,"chr1",72236302,72237438,1137,"*","chr1:72236302-72237438",2392
6345,"chr1",72243774,72244819,1046,"*","chr1:72243774-72244819",6055
6346,"chr1",72254400,72255864,1465,"*","chr1:72254400-72255864",5373
6349,"chr1",72284066,72284690,625,"*","chr1:72284066-72284690",5459
6350,"chr1",72287882,72288511,630,"*","chr1:72287882-72288511",2173
6351,"chr1",72288792,72289315,524,"*","chr1:72288792-72289315",1902
6354,"chr1",72294044,72294747,704,"*","chr1:72294044-72294747",2051
6357,"chr1",72306786,72307907,1122,"*","chr1:72306786-72307907",4055
6402,"chr1",72582942,72583839,898,"*","chr1:72582942-72583839",7476
6404,"chr1",72598864,72600203,1340,"*","chr1:72598864-72600203",2268
6416,"chr1",72710865,72711843,979,"*","chr1:72710865-72711843",3525
6450,"chr1",72870310,72871552,1243,"*","chr1:72870310-72871552",5710
6467,"chr1",72929514,72930385,872,"*","chr1:72929514-72930385",2187
6552,"chr1",73363271,73364561,1291,"*","chr1:73363271-73364561",1974
6656,"chr1",73850408,73851285,878,"*","chr1:73850408-73851285",4298
6659,"chr1",73862624,73863493,870,"*","chr1:73862624-73863493",2709
6661,"chr1",73901572,73903078,1507,"*","chr1:73901572-73903078",2461
6671,"chr1",73929353,73929796,444,"*","chr1:73929353-73929796",2259
6673,"chr1",73930577,73931315,739,"*","chr1:73930577-73931315",5273
6674,"chr1",73931994,73933201,1208,"*","chr1:73931994-73933201",3473
6675,"chr1",73935530,73936026,497,"*","chr1:73935530-73936026",1827
6684,"chr1",73962819,73963637,819,"*","chr1:73962819-73963637",4125
6686,"chr1",73966345,73967054,710,"*","chr1:73966345-73967054",2463
6697,"chr1",73995538,73996052,515,"*","chr1:73995538-73996052",2560
6699,"chr1",73998255,73999342,1088,"*","chr1:73998255-73999342",2253
6700,"chr1",74000184,74001367,1184,"*","chr1:74000184-74001367",2646
6702,"chr1",74005172,74005739,568,"*","chr1:74005172-74005739",2551
6703,"chr1",74007552,74008273,722,"*","chr1:74007552-74008273",2585
6704,"chr1",74008528,74009534,1007,"*","chr1:74008528-74009534",4401
6705,"chr1",74013062,74014052,991,"*","chr1:74013062-74014052",6175
6706,"chr1",74014659,74016288,1630,"*","chr1:74014659-74016288",6608
6711,"chr1",74024886,74026110,1225,"*","chr1:74024886-74026110",2241
6712,"chr1",74027509,74028180,672,"*","chr1:74027509-74028180",2388
6714,"chr1",74030576,74031652,1077,"*","chr1:74030576-74031652",5155
6717,"chr1",74036146,74037583,1438,"*","chr1:74036146-74037583",7569
6720,"chr1",74044599,74045111,513,"*","chr1:74044599-74045111",2177
6721,"chr1",74047370,74048330,961,"*","chr1:74047370-74048330",6361
6728,"chr1",74058391,74059101,711,"*","chr1:74058391-74059101",5586
6729,"chr1",74059612,74060578,967,"*","chr1:74059612-74060578",3841
6732,"chr1",74068577,74070424,1848,"*","chr1:74068577-74070424",5152
6734,"chr1",74074821,74075594,774,"*","chr1:74074821-74075594",2183
6738,"chr1",74082861,74083941,1081,"*","chr1:74082861-74083941",2000
6741,"chr1",74091071,74092709,1639,"*","chr1:74091071-74092709",2478
6743,"chr1",74095124,74095916,793,"*","chr1:74095124-74095916",1775
6755,"chr1",74124196,74125704,1509,"*","chr1:74124196-74125704",3873
6772,"chr1",74196197,74197317,1121,"*","chr1:74196197-74197317",2427
6783,"chr1",74236051,74237378,1328,"*","chr1:74236051-74237378",6070
6785,"chr1",74248715,74250198,1484,"*","chr1:74248715-74250198",3571
6791,"chr1",74284334,74285340,1007,"*","chr1:74284334-74285340",12946
6792,"chr1",74295448,74296313,866,"*","chr1:74295448-74296313",3598
6796,"chr1",74303607,74304695,1089,"*","chr1:74303607-74304695",2985
6808,"chr1",74332179,74333052,874,"*","chr1:74332179-74333052",7481
6821,"chr1",74386760,74387482,723,"*","chr1:74386760-74387482",7924
6822,"chr1",74391445,74392566,1122,"*","chr1:74391445-74392566",8303
6824,"chr1",74397179,74398562,1384,"*","chr1:74397179-74398562",10925
6827,"chr1",74408678,74409721,1044,"*","chr1:74408678-74409721",2049
6843,"chr1",74505647,74506926,1280,"*","chr1:74505647-74506926",9513
6854,"chr1",74587534,74588644,1111,"*","chr1:74587534-74588644",10014
6856,"chr1",74600854,74601809,956,"*","chr1:74600854-74601809",2449
6860,"chr1",74661498,74662362,865,"*","chr1:74661498-74662362",5838
6871,"chr1",74712945,74714133,1189,"*","chr1:74712945-74714133",3376
6877,"chr1",74748793,74749873,1081,"*","chr1:74748793-74749873",2714
6878,"chr1",74750814,74751489,676,"*","chr1:74750814-74751489",2632
6885,"chr1",74773039,74773658,620,"*","chr1:74773039-74773658",2889
6894,"chr1",74803150,74803668,519,"*","chr1:74803150-74803668",1919
6896,"chr1",74808111,74808740,630,"*","chr1:74808111-74808740",1924
6897,"chr1",74816707,74817540,834,"*","chr1:74816707-74817540",3206
6899,"chr1",74854557,74855382,826,"*","chr1:74854557-74855382",1954
6914,"chr1",74936277,74937075,799,"*","chr1:74936277-74937075",2325
6919,"chr1",74948845,74950251,1407,"*","chr1:74948845-74950251",5048
6938,"chr1",75124589,75125549,961,"*","chr1:75124589-75125549",8100
6939,"chr1",75133630,75134425,796,"*","chr1:75133630-75134425",1783
6940,"chr1",75140784,75142061,1278,"*","chr1:75140784-75142061",2606
6941,"chr1",75142430,75143434,1005,"*","chr1:75142430-75143434",5264
6944,"chr1",75168409,75169366,958,"*","chr1:75168409-75169366",8290
6945,"chr1",75179618,75180840,1223,"*","chr1:75179618-75180840",4683
6947,"chr1",75191635,75192957,1323,"*","chr1:75191635-75192957",8785
6949,"chr1",75208904,75209892,989,"*","chr1:75208904-75209892",3384
6950,"chr1",75210612,75211169,558,"*","chr1:75210612-75211169",3564
6951,"chr1",75214433,75215357,925,"*","chr1:75214433-75215357",6686
6952,"chr1",75218934,75220089,1156,"*","chr1:75218934-75220089",5271
6955,"chr1",75236201,75237252,1052,"*","chr1:75236201-75237252",5762
6959,"chr1",75251479,75252137,659,"*","chr1:75251479-75252137",1946
6968,"chr1",75316905,75318317,1413,"*","chr1:75316905-75318317",17202
6986,"chr1",75398784,75399474,691,"*","chr1:75398784-75399474",2683
6987,"chr1",75399917,75400903,987,"*","chr1:75399917-75400903",2232
6992,"chr1",75435566,75436492,927,"*","chr1:75435566-75436492",2242
6998,"chr1",75457941,75459574,1634,"*","chr1:75457941-75459574",2060
7001,"chr1",75478713,75479910,1198,"*","chr1:75478713-75479910",8067
7004,"chr1",75487354,75488373,1020,"*","chr1:75487354-75488373",2722
7006,"chr1",75505238,75507018,1781,"*","chr1:75505238-75507018",3197
7013,"chr1",75521230,75522191,962,"*","chr1:75521230-75522191",4200
7020,"chr1",75545881,75547167,1287,"*","chr1:75545881-75547167",2771
7021,"chr1",75559179,75560030,852,"*","chr1:75559179-75560030",4132
7080,"chr1",76039129,76039809,681,"*","chr1:76039129-76039809",2323
7234,"chr1",77446676,77447628,953,"*","chr1:77446676-77447628",1846
7248,"chr1",77514545,77515557,1013,"*","chr1:77514545-77515557",3987
7249,"chr1",77516075,77516872,798,"*","chr1:77516075-77516872",3465
7312,"chr1",78309281,78311510,2230,"*","chr1:78309281-78311510",2513
7319,"chr1",78338067,78338929,863,"*","chr1:78338067-78338929",1992
7344,"chr1",78440707,78441398,692,"*","chr1:78440707-78441398",2018
7352,"chr1",78488562,78489573,1012,"*","chr1:78488562-78489573",5394
7354,"chr1",78501974,78503134,1161,"*","chr1:78501974-78503134",2291
