"peak_index","seqnames","start","end","width","strand","name","peak_detection","top_peak_col","is_retained_after_pacs"
91083,"chr14",67715390,67716469,1080,"*","chr14:67715390-67716469",7304,2992,TRUE
239646,"chr6",108658745,108660971,2227,"*","chr6:108658745-108660971",7300,7860,TRUE
248815,"chr7",44929322,44930333,1012,"*","chr7:44929322-44930333",7296,8283,TRUE
193943,"chr4",45011860,45013068,1209,"*","chr4:45011860-45013068",7261,6306,TRUE
130847,"chr17",84956733,84958312,1580,"*","chr17:84956733-84958312",7254,4310,TRUE
43357,"chr11",55469024,55469984,961,"*","chr11:55469024-55469984",7221,1358,TRUE
248792,"chr7",44848599,44850615,2017,"*","chr7:44848599-44850615",7201,8278,TRUE
16626,"chr1",165460379,165461576,1198,"*","chr1:165460379-165461576",7182,468,TRUE
198843,"chr4",95051614,95053746,2133,"*","chr4:95051614-95053746",7178,6407,TRUE
246412,"chr7",19715355,19716461,1107,"*","chr7:19715355-19716461",7161,8112,TRUE
39094,"chr11",20542563,20543550,988,"*","chr11:20542563-20543550",7147,1218,TRUE
64366,"chr12",84450560,84451772,1213,"*","chr12:84450560-84451772",7146,2207,TRUE
277535,"chr8",126734849,126737407,2559,"*","chr8:126734849-126737407",7146,9281,TRUE
182881,"chr3",95014856,95016770,1915,"*","chr3:95014856-95016770",7137,5959,TRUE
256064,"chr7",110061061,110062410,1350,"*","chr7:110061061-110062410",7136,8525,TRUE
145101,"chr19",23134022,23136407,2386,"*","chr19:23134022-23136407",7109,4796,TRUE
68757,"chr12",118301039,118302660,1622,"*","chr12:118301039-118302660",7106,2334,TRUE
84375,"chr14",18238258,18239776,1519,"*","chr14:18238258-18239776",7085,2754,TRUE
208630,"chr4",151861805,151862993,1189,"*","chr4:151861805-151862993",7073,6839,TRUE
39530,"chr11",23255250,23256332,1083,"*","chr11:23255250-23256332",7053,1233,TRUE
143188,"chr19",6979660,6980915,1256,"*","chr19:6979660-6980915",7052,4709,TRUE
258991,"chr7",127745286,127746576,1291,"*","chr7:127745286-127746576",7026,8647,TRUE
245603,"chr7",4739642,4740510,869,"*","chr7:4739642-4740510",7019,8037,TRUE
52490,"chr11",106083944,106085712,1769,"*","chr11:106083944-106085712",7003,1843,TRUE
225581,"chr5",137628315,137629876,1562,"*","chr5:137628315-137629876",6976,7421,TRUE
270765,"chr8",84066379,84067683,1305,"*","chr8:84066379-84067683",6957,9031,TRUE
199914,"chr4",101647002,101648366,1365,"*","chr4:101647002-101648366",6947,6442,TRUE
262334,"chr8",4165860,4166829,970,"*","chr8:4165860-4166829",6945,8760,TRUE
236953,"chr6",88841744,88842859,1116,"*","chr6:88841744-88842859",6929,7797,TRUE
143198,"chr19",7039675,7040747,1073,"*","chr19:7039675-7040747",6906,4712,TRUE
118590,"chr16",91728349,91729737,1389,"*","chr16:91728349-91729737",6904,3838,TRUE
246278,"chr7",19227617,19229160,1544,"*","chr7:19227617-19229160",6884,8098,TRUE
225037,"chr5",135008703,135010396,1694,"*","chr5:135008703-135010396",6874,7382,TRUE
59744,"chr12",40222434,40223771,1338,"*","chr12:40222434-40223771",6868,2089,TRUE
53280,"chr11",109610994,109612371,1378,"*","chr11:109610994-109612371",6836,1872,TRUE
143062,"chr19",6363410,6364256,847,"*","chr19:6363410-6364256",6823,4699,TRUE
21778,"chr10",5823752,5824871,1120,"*","chr10:5823752-5824871",6811,600,TRUE
142940,"chr19",5845309,5847672,2364,"*","chr19:5845309-5847672",6805,4676,TRUE
286472,"chr9",66795157,66796325,1169,"*","chr9:66795157-66796325",6785,9582,TRUE
240054,"chr6",113306401,113307229,829,"*","chr6:113306401-113307229",6760,7867,TRUE
249004,"chr7",45704158,45705526,1369,"*","chr7:45704158-45705526",6748,8311,TRUE
279434,"chr9",21545826,21547448,1623,"*","chr9:21545826-21547448",6744,9339,TRUE
30847,"chr10",81320231,81321473,1243,"*","chr10:81320231-81321473",6742,917,TRUE
95436,"chr14",120477495,120478719,1225,"*","chr14:120477495-120478719",6722,3078,TRUE
31739,"chr10",86705240,86706657,1418,"*","chr10:86705240-86706657",6709,966,TRUE
147840,"chr19",41980675,41982011,1337,"*","chr19:41980675-41982011",6708,4879,TRUE
268963,"chr8",69996082,69997061,980,"*","chr8:69996082-69997061",6688,8930,TRUE
89077,"chr14",55559874,55561224,1351,"*","chr14:55559874-55561224",6679,2926,TRUE
144119,"chr19",14597843,14599082,1240,"*","chr19:14597843-14599082",6678,4778,TRUE
225066,"chr5",135148902,135149989,1088,"*","chr5:135148902-135149989",6634,7387,TRUE
30556,"chr10",80147961,80149902,1942,"*","chr10:80147961-80149902",6609,869,TRUE
187822,"chr3",135437902,135439728,1827,"*","chr3:135437902-135439728",6599,6152,TRUE
212503,"chr5",34187231,34188447,1217,"*","chr5:34187231-34188447",6595,6996,TRUE
153821,"chr2",26445097,26446453,1357,"*","chr2:26445097-26446453",6588,5072,TRUE
158816,"chr2",65237428,65239664,2237,"*","chr2:65237428-65239664",6584,5254,TRUE
55648,"chr11",120572704,120573720,1017,"*","chr11:120572704-120573720",6582,1977,TRUE
103734,"chr15",77841804,77843021,1218,"*","chr15:77841804-77843021",6571,3307,TRUE
245717,"chr7",6362357,6363603,1247,"*","chr7:6362357-6363603",6568,8051,TRUE
269391,"chr8",72160752,72161651,900,"*","chr8:72160752-72161651",6553,8984,TRUE
245493,"chr7",3644541,3645749,1209,"*","chr7:3644541-3645749",6551,8027,TRUE
192907,"chr4",33247565,33249061,1497,"*","chr4:33247565-33249061",6550,6247,TRUE
45897,"chr11",70668547,70669908,1362,"*","chr11:70668547-70669908",6547,1490,TRUE
55814,"chr11",121236640,121237727,1088,"*","chr11:121236640-121237727",6539,1995,TRUE
49016,"chr11",87591778,87592761,984,"*","chr11:87591778-87592761",6529,1647,TRUE
245497,"chr7",3692837,3694602,1766,"*","chr7:3692837-3694602",6516,8029,TRUE
284313,"chr9",57075883,57076641,759,"*","chr9:57075883-57076641",6515,9498,TRUE
58902,"chr12",31949335,31951119,1785,"*","chr12:31949335-31951119",6498,2073,TRUE
127764,"chr17",64331545,64332664,1120,"*","chr17:64331545-64332664",6495,4236,TRUE
133760,"chr18",21299716,21300942,1227,"*","chr18:21299716-21300942",6492,4376,TRUE
258895,"chr7",127208464,127209578,1115,"*","chr7:127208464-127209578",6490,8630,TRUE
222729,"chr5",120612461,120613745,1285,"*","chr5:120612461-120613745",6489,7277,TRUE
160484,"chr2",75703505,75705560,2056,"*","chr2:75703505-75705560",6487,5287,TRUE
134496,"chr18",31634026,31635411,1386,"*","chr18:31634026-31635411",6467,4390,TRUE
126359,"chr17",48409091,48410508,1418,"*","chr17:48409091-48410508",6454,4194,TRUE
88661,"chr14",52103851,52104757,907,"*","chr14:52103851-52104757",6445,2898,TRUE
272602,"chr8",95080460,95081563,1104,"*","chr8:95080460-95081563",6441,9109,TRUE
51464,"chr11",100939180,100940139,960,"*","chr11:100939180-100940139",6432,1772,TRUE
62151,"chr12",72084410,72086460,2051,"*","chr12:72084410-72086460",6430,2143,TRUE
248822,"chr7",44986411,44987202,792,"*","chr7:44986411-44987202",6409,8285,TRUE
211065,"chr5",23432635,23434776,2142,"*","chr5:23432635-23434776",6372,6924,TRUE
234888,"chr6",71440167,71441609,1443,"*","chr6:71440167-71441609",6372,7707,TRUE
30622,"chr10",80398849,80400144,1296,"*","chr10:80398849-80400144",6363,883,TRUE
269088,"chr8",70538308,70539935,1628,"*","chr8:70538308-70539935",6353,8946,TRUE
50362,"chr11",96075381,96076384,1004,"*","chr11:96075381-96076384",6330,1697,TRUE
143497,"chr19",8819064,8820511,1448,"*","chr19:8819064-8820511",6314,4738,TRUE
50606,"chr11",96977225,96978385,1161,"*","chr11:96977225-96978385",6287,1715,TRUE
271879,"chr8",91133565,91134683,1119,"*","chr8:91133565-91134683",6286,9079,TRUE
107590,"chr15",99392219,99394331,2113,"*","chr15:99392219-99394331",6266,3490,TRUE
269194,"chr8",70839295,70840317,1023,"*","chr8:70839295-70840317",6260,8962,TRUE
246786,"chr7",25754351,25755965,1615,"*","chr7:25754351-25755965",6258,8148,TRUE
248684,"chr7",44304727,44305870,1144,"*","chr7:44304727-44305870",6257,8266,TRUE
44221,"chr11",61174435,61175769,1335,"*","chr11:61174435-61175769",6252,1398,TRUE
199423,"chr4",98922891,98924226,1336,"*","chr4:98922891-98924226",6244,6426,TRUE
241868,"chr6",124930393,124932350,1958,"*","chr6:124930393-124932350",6244,7936,TRUE
27179,"chr10",58322933,58324032,1100,"*","chr10:58322933-58324032",6228,727,TRUE
212432,"chr5",33657573,33658853,1281,"*","chr5:33657573-33658853",6226,6989,TRUE
48937,"chr11",87108773,87109787,1015,"*","chr11:87108773-87109787",6222,1640,TRUE
140300,"chr18",73572026,73573117,1092,"*","chr18:73572026-73573117",6208,4557,TRUE
246603,"chr7",24884020,24884943,924,"*","chr7:24884020-24884943",6207,8126,TRUE
291196,"chr9",104001987,104003415,1429,"*","chr9:104001987-104003415",6202,9703,TRUE
261316,"chr7",141215314,141216905,1592,"*","chr7:141215314-141216905",6201,8712,TRUE
247541,"chr7",30588844,30590310,1467,"*","chr7:30588844-30590310",6197,8217,TRUE
39307,"chr11",21571723,21572576,854,"*","chr11:21571723-21572576",6194,1223,TRUE
279372,"chr9",21290988,21291907,920,"*","chr9:21290988-21291907",6182,9334,TRUE
50655,"chr11",97187890,97188877,988,"*","chr11:97187890-97188877",6170,1718,TRUE
221698,"chr5",115158011,115159175,1165,"*","chr5:115158011-115159175",6165,7242,TRUE
155801,"chr2",34904859,34905703,845,"*","chr2:34904859-34905703",6155,5187,TRUE
14210,"chr1",150392680,150393905,1226,"*","chr1:150392680-150393905",6150,393,TRUE
47254,"chr11",77981781,77983030,1250,"*","chr11:77981781-77983030",6140,1561,TRUE
51613,"chr11",101551938,101553180,1243,"*","chr11:101551938-101553180",6102,1789,TRUE
45535,"chr11",69094840,69095529,690,"*","chr11:69094840-69095529",6099,1439,TRUE
2639,"chr1",37864590,37865657,1068,"*","chr1:37864590-37865657",6084,65,TRUE
167516,"chr2",136890968,136892481,1514,"*","chr2:136890968-136892481",6077,5506,TRUE
30454,"chr10",79853031,79854905,1875,"*","chr10:79853031-79854905",6073,853,TRUE
255668,"chr7",105399728,105400806,1079,"*","chr7:105399728-105400806",6071,8512,TRUE
149691,"chr19",53943995,53945248,1254,"*","chr19:53943995-53945248",6057,4955,TRUE
71513,"chr13",29985873,29987065,1193,"*","chr13:29985873-29987065",6041,2402,TRUE
122397,"chr17",24886385,24887134,750,"*","chr17:24886385-24887134",6038,3969,TRUE
162421,"chr2",94157666,94158612,947,"*","chr2:94157666-94158612",6035,5343,TRUE
88894,"chr14",54686170,54687310,1141,"*","chr14:54686170-54687310",6027,2914,TRUE
66132,"chr12",100724769,100725800,1032,"*","chr12:100724769-100725800",6025,2254,TRUE
122057,"chr17",20944985,20946092,1108,"*","chr17:20944985-20946092",6022,3930,TRUE
148835,"chr19",46760960,46762089,1130,"*","chr19:46760960-46762089",6002,4935,TRUE
89084,"chr14",55590812,55592095,1284,"*","chr14:55590812-55592095",5992,2927,TRUE
154856,"chr2",30981806,30982658,853,"*","chr2:30981806-30982658",5988,5135,TRUE
36963,"chr10",128695888,128696894,1007,"*","chr10:128695888-128696894",5968,1121,TRUE
129258,"chr17",74527887,74529079,1193,"*","chr17:74527887-74529079",5963,4276,TRUE
270742,"chr8",83955041,83955951,911,"*","chr8:83955041-83955951",5963,9025,TRUE
268908,"chr8",69716519,69717498,980,"*","chr8:69716519-69717498",5962,8923,TRUE
47297,"chr11",78177509,78179504,1996,"*","chr11:78177509-78179504",5950,1567,TRUE
193275,"chr4",40142798,40143960,1163,"*","chr4:40142798-40143960",5950,6256,TRUE
246122,"chr7",16923875,16924907,1033,"*","chr7:16923875-16924907",5948,8084,TRUE
279229,"chr9",20651586,20652409,824,"*","chr9:20651586-20652409",5944,9322,TRUE
280481,"chr9",31279831,31281527,1697,"*","chr9:31279831-31281527",5933,9373,TRUE
45963,"chr11",71019105,71020128,1024,"*","chr11:71019105-71020128",5932,1495,TRUE
254036,"chr7",92669767,92670692,926,"*","chr7:92669767-92670692",5919,8458,TRUE
11874,"chr1",128102508,128103966,1459,"*","chr1:128102508-128103966",5907,324,TRUE
240026,"chr6",113076095,113077774,1680,"*","chr6:113076095-113077774",5907,7865,TRUE
247065,"chr7",28372260,28373638,1379,"*","chr7:28372260-28373638",5902,8175,TRUE
124438,"chr17",33759899,33760946,1048,"*","chr17:33759899-33760946",5900,4074,TRUE
182998,"chr3",95624751,95625681,931,"*","chr3:95624751-95625681",5898,5973,TRUE
104191,"chr15",79690319,79691156,838,"*","chr15:79690319-79691156",5897,3335,TRUE
122390,"chr17",24849825,24850934,1110,"*","chr17:24849825-24850934",5894,3966,TRUE
69902,"chr13",14063111,14064328,1218,"*","chr13:14063111-14064328",5890,2362,TRUE
161453,"chr2",84714761,84716529,1769,"*","chr2:84714761-84716529",5890,5304,TRUE
232327,"chr6",47813174,47814041,868,"*","chr6:47813174-47814041",5887,7630,TRUE
275972,"chr8",120588813,120589788,976,"*","chr8:120588813-120589788",5882,9228,TRUE
247081,"chr7",28436335,28437676,1342,"*","chr7:28436335-28437676",5881,8180,TRUE
6791,"chr1",74284334,74285340,1007,"*","chr1:74284334-74285340",5880,182,TRUE
292356,"chr9",111271278,111272305,1028,"*","chr9:111271278-111272305",5880,9798,TRUE
281210,"chr9",36767505,36768293,789,"*","chr9:36767505-36768293",5875,9383,TRUE
46463,"chr11",74830025,74831212,1188,"*","chr11:74830025-74831212",5870,1520,TRUE
148134,"chr19",43674752,43675858,1107,"*","chr19:43674752-43675858",5866,4891,TRUE
182280,"chr3",89393485,89395371,1887,"*","chr3:89393485-89395371",5856,5923,TRUE
50102,"chr11",95040036,95041863,1828,"*","chr11:95040036-95041863",5855,1686,TRUE
256306,"chr7",111082159,111083673,1515,"*","chr7:111082159-111083673",5848,8538,TRUE
229527,"chr6",21949346,21950356,1011,"*","chr6:21949346-21950356",5847,7549,TRUE
96157,"chr15",3995479,3996505,1027,"*","chr15:3995479-3996505",5845,3101,TRUE
256077,"chr7",110121433,110123403,1971,"*","chr7:110121433-110123403",5842,8527,TRUE
241681,"chr6",122810718,122811831,1114,"*","chr6:122810718-122811831",5841,7920,TRUE
247168,"chr7",28810320,28811707,1388,"*","chr7:28810320-28811707",5832,8188,TRUE
272439,"chr8",94385989,94387931,1943,"*","chr8:94385989-94387931",5832,9096,TRUE
61901,"chr12",71015176,71016337,1162,"*","chr12:71015176-71016337",5823,2141,TRUE
180506,"chr3",75556621,75557811,1191,"*","chr3:75556621-75557811",5821,5866,TRUE
142652,"chr19",4509994,4510896,903,"*","chr19:4509994-4510896",5818,4638,TRUE
108554,"chr15",103239432,103240719,1288,"*","chr15:103239432-103240719",5814,3544,TRUE
44079,"chr11",60352652,60353588,937,"*","chr11:60352652-60353588",5805,1386,TRUE
104037,"chr15",79062675,79063761,1087,"*","chr15:79062675-79063761",5790,3326,TRUE
234777,"chr6",70843914,70844837,924,"*","chr6:70843914-70844837",5785,7702,TRUE
253287,"chr7",83891629,83892573,945,"*","chr7:83891629-83892573",5782,8428,TRUE
88945,"chr14",54893679,54894454,776,"*","chr14:54893679-54894454",5773,2919,TRUE
15293,"chr1",156035609,156036951,1343,"*","chr1:156035609-156036951",5771,429,TRUE
262390,"chr8",4677423,4678984,1562,"*","chr8:4677423-4678984",5758,8766,TRUE
267889,"chr8",57511223,57512267,1045,"*","chr8:57511223-57512267",5758,8899,TRUE
64237,"chr12",83921584,83922481,898,"*","chr12:83921584-83922481",5749,2196,TRUE
50184,"chr11",95309638,95310817,1180,"*","chr11:95309638-95310817",5745,1689,TRUE
75803,"chr13",55444563,55445856,1294,"*","chr13:55444563-55445856",5743,2530,TRUE
210758,"chr5",20881660,20882787,1128,"*","chr5:20881660-20882787",5739,6916,TRUE
245615,"chr7",4812099,4813251,1153,"*","chr7:4812099-4813251",5736,8039,TRUE
144035,"chr19",12795531,12797034,1504,"*","chr19:12795531-12797034",5734,4777,TRUE
155219,"chr2",32451187,32452542,1356,"*","chr2:32451187-32452542",5731,5158,TRUE
278080,"chr9",4309298,4310261,964,"*","chr9:4309298-4310261",5712,9295,TRUE
101124,"chr15",58075545,58077409,1865,"*","chr15:58075545-58077409",5707,3214,TRUE
180771,"chr3",79628366,79629864,1499,"*","chr3:79628366-79629864",5707,5872,TRUE
10389,"chr1",106171211,106172070,860,"*","chr1:106171211-106172070",5701,292,TRUE
122581,"chr17",25832721,25833880,1160,"*","chr17:25832721-25833880",5674,3976,TRUE
51335,"chr11",100397126,100398369,1244,"*","chr11:100397126-100398369",5662,1764,TRUE
80272,"chr13",98814744,98815985,1242,"*","chr13:98814744-98815985",5637,2652,TRUE
177178,"chr3",37419211,37420596,1386,"*","chr3:37419211-37420596",5637,5803,TRUE
254879,"chr7",99140965,99141865,901,"*","chr7:99140965-99141865",5636,8475,TRUE
16054,"chr1",161876429,161877600,1172,"*","chr1:161876429-161877600",5633,442,TRUE
99631,"chr15",38518206,38520090,1885,"*","chr15:38518206-38520090",5632,3180,TRUE
9608,"chr1",92180153,92181244,1092,"*","chr1:92180153-92181244",5629,269,TRUE
279530,"chr9",22002495,22003343,849,"*","chr9:22002495-22003343",5624,9351,TRUE
88859,"chr14",54517225,54518024,800,"*","chr14:54517225-54518024",5619,2908,TRUE
39367,"chr11",22286469,22287734,1266,"*","chr11:22286469-22287734",5616,1224,TRUE
14483,"chr1",151754954,151755863,910,"*","chr1:151754954-151755863",5613,401,TRUE
192,"chr1",7088450,7089463,1014,"*","chr1:7088450-7089463",5611,5,TRUE
117556,"chr16",84834384,84836594,2211,"*","chr16:84834384-84836594",5607,3809,TRUE
68402,"chr12",113155312,113156923,1612,"*","chr12:113155312-113156923",5602,2329,TRUE
62798,"chr12",76403648,76404697,1050,"*","chr12:76403648-76404697",5594,2160,TRUE
284311,"chr9",57073113,57074064,952,"*","chr9:57073113-57074064",5579,9497,TRUE
251063,"chr7",68748598,68749884,1287,"*","chr7:68748598-68749884",5578,8373,TRUE
246638,"chr7",25076922,25077709,788,"*","chr7:25076922-25077709",5576,8129,TRUE
293681,"chr9",119322282,119323367,1086,"*","chr9:119322282-119323367",5574,9823,TRUE
62640,"chr12",75669162,75670167,1006,"*","chr12:75669162-75670167",5573,2154,TRUE
46628,"chr11",75462272,75463540,1269,"*","chr11:75462272-75463540",5556,1534,TRUE
250163,"chr7",63938695,63940062,1368,"*","chr7:63938695-63940062",5556,8351,TRUE
60542,"chr12",52503334,52505002,1669,"*","chr12:52503334-52505002",5555,2101,TRUE
107691,"chr15",99723997,99726141,2145,"*","chr15:99723997-99726141",5551,3494,TRUE
161770,"chr2",91264828,91265588,761,"*","chr2:91264828-91265588",5551,5323,TRUE
127111,"chr17",56325637,56326365,729,"*","chr17:56325637-56326365",5549,4214,TRUE
146638,"chr19",32755786,32758304,2519,"*","chr19:32755786-32758304",5545,4844,TRUE
103787,"chr15",78173759,78174741,983,"*","chr15:78173759-78174741",5538,3312,TRUE
290649,"chr9",100642438,100643906,1469,"*","chr9:100642438-100643906",5530,9688,TRUE
22726,"chr10",13964464,13968078,3615,"*","chr10:13964464-13968078",5525,620,TRUE
122191,"chr17",23802727,23803870,1144,"*","chr17:23802727-23803870",5524,3945,TRUE
142426,"chr19",3575400,3576590,1191,"*","chr19:3575400-3576590",5515,4612,TRUE
155408,"chr2",33130345,33132176,1832,"*","chr2:33130345-33132176",5511,5174,TRUE
37724,"chr11",6291384,6292896,1513,"*","chr11:6291384-6292896",5507,1181,TRUE
83218,"chr13",119690066,119690916,851,"*","chr13:119690066-119690916",5498,2726,TRUE
125866,"chr17",46159954,46161376,1423,"*","chr17:46159954-46161376",5498,4164,TRUE
248830,"chr7",45017337,45018202,866,"*","chr7:45017337-45018202",5493,8288,TRUE
255168,"chr7",100371744,100372627,884,"*","chr7:100371744-100372627",5491,8489,TRUE
3922,"chr1",51477820,51479082,1263,"*","chr1:51477820-51479082",5490,93,TRUE
60410,"chr12",51691055,51692740,1686,"*","chr12:51691055-51692740",5484,2097,TRUE
226891,"chr5",144357904,144359021,1118,"*","chr5:144357904-144359021",5484,7486,TRUE
202896,"chr4",122885760,122886903,1144,"*","chr4:122885760-122886903",5463,6557,TRUE
121482,"chr17",12915767,12916967,1201,"*","chr17:12915767-12916967",5456,3904,TRUE
294521,"chr9",123528988,123530278,1291,"*","chr9:123528988-123530278",5456,9855,TRUE
258306,"chr7",123369465,123370582,1118,"*","chr7:123369465-123370582",5444,8598,TRUE
270925,"chr8",84846684,84847556,873,"*","chr8:84846684-84847556",5433,9041,TRUE
273463,"chr8",105826950,105828028,1079,"*","chr8:105826950-105828028",5412,9138,TRUE
278759,"chr9",14275175,14276929,1755,"*","chr9:14275175-14276929",5409,9308,TRUE
23518,"chr10",20311648,20313305,1658,"*","chr10:20311648-20313305",5403,641,TRUE
250615,"chr7",66689391,66690520,1130,"*","chr7:66689391-66690520",5403,8361,TRUE
122825,"chr17",26715472,26716899,1428,"*","chr17:26715472-26716899",5400,3999,TRUE
111346,"chr16",22439468,22440370,903,"*","chr16:22439468-22440370",5399,3678,TRUE
159988,"chr2",72978658,72981137,2480,"*","chr2:72978658-72981137",5396,5278,TRUE
64999,"chr12",87387986,87388954,969,"*","chr12:87387986-87388954",5395,2234,TRUE
211943,"chr5",30887404,30889444,2041,"*","chr5:30887404-30889444",5393,6956,TRUE
75677,"chr13",54686891,54688621,1731,"*","chr13:54686891-54688621",5391,2515,TRUE
176776,"chr3",32708343,32709305,963,"*","chr3:32708343-32709305",5383,5790,TRUE
214007,"chr5",45449897,45450883,987,"*","chr5:45449897-45450883",5380,7035,TRUE
228392,"chr6",5496050,5497213,1164,"*","chr6:5496050-5497213",5378,7529,TRUE
182105,"chr3",88552581,88554389,1809,"*","chr3:88552581-88554389",5375,5909,TRUE
111424,"chr16",22857157,22858202,1046,"*","chr16:22857157-22858202",5373,3679,TRUE
246255,"chr7",19149074,19150139,1066,"*","chr7:19149074-19150139",5372,8097,TRUE
216551,"chr5",73490545,73491384,840,"*","chr5:73490545-73491384",5368,7101,TRUE
103431,"chr15",76350613,76352055,1443,"*","chr15:76350613-76352055",5367,3285,TRUE
182466,"chr3",90292258,90293495,1238,"*","chr3:90292258-90293495",5363,5937,TRUE
64414,"chr12",84772784,84773597,814,"*","chr12:84772784-84773597",5359,2209,TRUE
231397,"chr6",37441804,37442799,996,"*","chr6:37441804-37442799",5345,7598,TRUE
270673,"chr8",83607808,83609003,1196,"*","chr8:83607808-83609003",5333,9020,TRUE
66876,"chr12",105032300,105032989,690,"*","chr12:105032300-105032989",5325,2282,TRUE
189201,"chr3",145923970,145924893,924,"*","chr3:145923970-145924893",5324,6177,TRUE
37757,"chr11",6444146,6445039,894,"*","chr11:6444146-6445039",5323,1184,TRUE
88976,"chr14",55014716,55015849,1134,"*","chr14:55014716-55015849",5319,2920,TRUE
228105,"chr5",151368136,151369288,1153,"*","chr5:151368136-151369288",5313,7526,TRUE
35504,"chr10",119239398,119240930,1533,"*","chr10:119239398-119240930",5312,1052,TRUE
236231,"chr6",85451129,85452398,1270,"*","chr6:85451129-85452398",5302,7764,TRUE
291539,"chr9",106437976,106439459,1484,"*","chr9:106437976-106439459",5298,9719,TRUE
52152,"chr11",103966374,103967276,903,"*","chr11:103966374-103967276",5292,1828,TRUE
174139,"chr2",180256700,180257727,1028,"*","chr2:180256700-180257727",5278,5721,TRUE
64879,"chr12",86800924,86802807,1884,"*","chr12:86800924-86802807",5275,2222,TRUE
240057,"chr6",113326423,113327572,1150,"*","chr6:113326423-113327572",5275,7868,TRUE
99522,"chr15",37960583,37961781,1199,"*","chr15:37960583-37961781",5273,3174,TRUE
54184,"chr11",115276786,115277793,1008,"*","chr11:115276786-115277793",5267,1890,TRUE
160684,"chr2",76647645,76648808,1164,"*","chr2:76647645-76648808",5263,5291,TRUE
50563,"chr11",96829559,96830745,1187,"*","chr11:96829559-96830745",5241,1707,TRUE
211458,"chr5",25529451,25530468,1018,"*","chr5:25529451-25530468",5240,6944,TRUE
54631,"chr11",116842667,116844063,1397,"*","chr11:116842667-116844063",5233,1927,TRUE
89978,"chr14",61439380,61440558,1179,"*","chr14:61439380-61440558",5218,2962,TRUE
193616,"chr4",42999746,43001044,1299,"*","chr4:42999746-43001044",5214,6283,TRUE
116512,"chr16",64851553,64852899,1347,"*","chr16:64851553-64852899",5211,3797,TRUE
42376,"chr11",50377017,50378849,1833,"*","chr11:50377017-50378849",5209,1309,TRUE
187998,"chr3",136669519,136671993,2475,"*","chr3:136669519-136671993",5198,6154,TRUE
68485,"chr12",116280560,116281831,1272,"*","chr12:116280560-116281831",5197,2331,TRUE
294627,"chrUn_GL456359",19391,20770,1380,"*","chrUn_GL456359:19391-20770",5191,9866,TRUE
104687,"chr15",81802367,81803552,1186,"*","chr15:81802367-81803552",5189,3360,TRUE
142555,"chr19",4096848,4097987,1140,"*","chr19:4096848-4097987",5172,4624,TRUE
263175,"chr8",11635105,11637005,1901,"*","chr8:11635105-11637005",5156,8785,TRUE
