"peak_index","seqnames","start","end","width","strand","name"
148,"chr1",6188321,6188990,670,"*","chr1:6188321-6188990"
149,"chr1",6190824,6191058,235,"*","chr1:6190824-6191058"
150,"chr1",6192750,6193088,339,"*","chr1:6192750-6193088"
151,"chr1",6214252,6215528,1277,"*","chr1:6214252-6215528"
152,"chr1",6225435,6225787,353,"*","chr1:6225435-6225787"
153,"chr1",6230099,6230546,448,"*","chr1:6230099-6230546"
154,"chr1",6236934,6237148,215,"*","chr1:6236934-6237148"
155,"chr1",6244370,6244686,317,"*","chr1:6244370-6244686"
156,"chr1",6271643,6271931,289,"*","chr1:6271643-6271931"
157,"chr1",6272426,6272724,299,"*","chr1:6272426-6272724"
158,"chr1",6279872,6280110,239,"*","chr1:6279872-6280110"
159,"chr1",6280366,6280691,326,"*","chr1:6280366-6280691"
160,"chr1",6282545,6283072,528,"*","chr1:6282545-6283072"
161,"chr1",6287862,6288434,573,"*","chr1:6287862-6288434"
162,"chr1",6303861,6304082,222,"*","chr1:6303861-6304082"
163,"chr1",6306870,6307236,367,"*","chr1:6306870-6307236"
164,"chr1",6358913,6359796,884,"*","chr1:6358913-6359796"
165,"chr1",6380269,6380483,215,"*","chr1:6380269-6380483"
166,"chr1",6382580,6383539,960,"*","chr1:6382580-6383539"
167,"chr1",6390478,6390752,275,"*","chr1:6390478-6390752"
168,"chr1",6392263,6392786,524,"*","chr1:6392263-6392786"
169,"chr1",6401496,6401964,469,"*","chr1:6401496-6401964"
170,"chr1",6406325,6406808,484,"*","chr1:6406325-6406808"
171,"chr1",6410330,6410615,286,"*","chr1:6410330-6410615"
172,"chr1",6441115,6441948,834,"*","chr1:6441115-6441948"
173,"chr1",6458313,6458525,213,"*","chr1:6458313-6458525"
174,"chr1",6464981,6465467,487,"*","chr1:6464981-6465467"
175,"chr1",6471969,6472236,268,"*","chr1:6471969-6472236"
176,"chr1",6476350,6476864,515,"*","chr1:6476350-6476864"
177,"chr1",6479631,6479833,203,"*","chr1:6479631-6479833"
178,"chr1",6484545,6484854,310,"*","chr1:6484545-6484854"
179,"chr1",6760832,6761156,325,"*","chr1:6760832-6761156"
180,"chr1",6858607,6858855,249,"*","chr1:6858607-6858855"
181,"chr1",6859213,6859463,251,"*","chr1:6859213-6859463"
182,"chr1",6866293,6866513,221,"*","chr1:6866293-6866513"
183,"chr1",6867051,6867371,321,"*","chr1:6867051-6867371"
184,"chr1",6888387,6888904,518,"*","chr1:6888387-6888904"
185,"chr1",6969884,6970089,206,"*","chr1:6969884-6970089"
186,"chr1",6973891,6974400,510,"*","chr1:6973891-6974400"
187,"chr1",7010378,7010765,388,"*","chr1:7010378-7010765"
188,"chr1",7015467,7015808,342,"*","chr1:7015467-7015808"
189,"chr1",7047490,7047707,218,"*","chr1:7047490-7047707"
190,"chr1",7052945,7053204,260,"*","chr1:7052945-7053204"
191,"chr1",7077842,7078292,451,"*","chr1:7077842-7078292"
192,"chr1",7088450,7089463,1014,"*","chr1:7088450-7089463"
193,"chr1",7100545,7101221,677,"*","chr1:7100545-7101221"
194,"chr1",7105352,7105554,203,"*","chr1:7105352-7105554"
195,"chr1",7110438,7110638,201,"*","chr1:7110438-7110638"
196,"chr1",7113059,7113526,468,"*","chr1:7113059-7113526"
197,"chr1",7113733,7114178,446,"*","chr1:7113733-7114178"
198,"chr1",7138159,7140130,1972,"*","chr1:7138159-7140130"
199,"chr1",7148161,7148361,201,"*","chr1:7148161-7148361"
200,"chr1",7153628,7153886,259,"*","chr1:7153628-7153886"
201,"chr1",7155142,7155342,201,"*","chr1:7155142-7155342"
202,"chr1",7165511,7165844,334,"*","chr1:7165511-7165844"
203,"chr1",7181202,7181680,479,"*","chr1:7181202-7181680"
204,"chr1",7200105,7200305,201,"*","chr1:7200105-7200305"
205,"chr1",7204957,7205271,315,"*","chr1:7204957-7205271"
206,"chr1",7206274,7207153,880,"*","chr1:7206274-7207153"
207,"chr1",7298819,7299409,591,"*","chr1:7298819-7299409"
208,"chr1",7377904,7378179,276,"*","chr1:7377904-7378179"
209,"chr1",7381534,7381930,397,"*","chr1:7381534-7381930"
210,"chr1",7382417,7382660,244,"*","chr1:7382417-7382660"
211,"chr1",7397734,7398644,911,"*","chr1:7397734-7398644"
212,"chr1",7467546,7467770,225,"*","chr1:7467546-7467770"
213,"chr1",7495585,7495826,242,"*","chr1:7495585-7495826"
214,"chr1",7497737,7498419,683,"*","chr1:7497737-7498419"
215,"chr1",7498780,7499574,795,"*","chr1:7498780-7499574"
216,"chr1",7543720,7544004,285,"*","chr1:7543720-7544004"
217,"chr1",7559195,7559417,223,"*","chr1:7559195-7559417"
218,"chr1",7671977,7672308,332,"*","chr1:7671977-7672308"
219,"chr1",7746188,7746388,201,"*","chr1:7746188-7746388"
220,"chr1",7777384,7778627,1244,"*","chr1:7777384-7778627"
221,"chr1",7781541,7781949,409,"*","chr1:7781541-7781949"
222,"chr1",7824250,7824464,215,"*","chr1:7824250-7824464"
223,"chr1",8123309,8123581,273,"*","chr1:8123309-8123581"
224,"chr1",8410757,8411127,371,"*","chr1:8410757-8411127"
225,"chr1",8412334,8412707,374,"*","chr1:8412334-8412707"
226,"chr1",8416991,8417524,534,"*","chr1:8416991-8417524"
227,"chr1",8431876,8432076,201,"*","chr1:8431876-8432076"
228,"chr1",8434245,8434800,556,"*","chr1:8434245-8434800"
229,"chr1",8467563,8467821,259,"*","chr1:8467563-8467821"
230,"chr1",8496020,8496361,342,"*","chr1:8496020-8496361"
231,"chr1",8533948,8534447,500,"*","chr1:8533948-8534447"
232,"chr1",8582959,8583159,201,"*","chr1:8582959-8583159"
233,"chr1",8604104,8604428,325,"*","chr1:8604104-8604428"
234,"chr1",8678983,8679279,297,"*","chr1:8678983-8679279"
235,"chr1",8817125,8817700,576,"*","chr1:8817125-8817700"
236,"chr1",8822061,8822480,420,"*","chr1:8822061-8822480"
237,"chr1",8842936,8843202,267,"*","chr1:8842936-8843202"
238,"chr1",8845522,8845789,268,"*","chr1:8845522-8845789"
239,"chr1",8915683,8915986,304,"*","chr1:8915683-8915986"
240,"chr1",8945119,8945345,227,"*","chr1:8945119-8945345"
241,"chr1",8981070,8981493,424,"*","chr1:8981070-8981493"
242,"chr1",9127740,9128582,843,"*","chr1:9127740-9128582"
243,"chr1",9221535,9221899,365,"*","chr1:9221535-9221899"
244,"chr1",9298592,9298940,349,"*","chr1:9298592-9298940"
245,"chr1",9315746,9316067,322,"*","chr1:9315746-9316067"
246,"chr1",9375144,9375623,480,"*","chr1:9375144-9375623"
247,"chr1",9423228,9423522,295,"*","chr1:9423228-9423522"
248,"chr1",9449281,9449481,201,"*","chr1:9449281-9449481"
249,"chr1",9450943,9451459,517,"*","chr1:9450943-9451459"
250,"chr1",9469681,9469918,238,"*","chr1:9469681-9469918"
251,"chr1",9535601,9536244,644,"*","chr1:9535601-9536244"
252,"chr1",9541473,9541721,249,"*","chr1:9541473-9541721"
253,"chr1",9545109,9545739,631,"*","chr1:9545109-9545739"
254,"chr1",9547914,9548424,511,"*","chr1:9547914-9548424"
255,"chr1",9549239,9549468,230,"*","chr1:9549239-9549468"
256,"chr1",9550658,9550987,330,"*","chr1:9550658-9550987"
257,"chr1",9552174,9552394,221,"*","chr1:9552174-9552394"
258,"chr1",9559841,9560427,587,"*","chr1:9559841-9560427"
259,"chr1",9563293,9563627,335,"*","chr1:9563293-9563627"
260,"chr1",9564548,9565869,1322,"*","chr1:9564548-9565869"
261,"chr1",9566022,9566372,351,"*","chr1:9566022-9566372"
262,"chr1",9567865,9568509,645,"*","chr1:9567865-9568509"
263,"chr1",9573251,9573758,508,"*","chr1:9573251-9573758"
264,"chr1",9578608,9579283,676,"*","chr1:9578608-9579283"
265,"chr1",9602308,9602889,582,"*","chr1:9602308-9602889"
266,"chr1",9611866,9612128,263,"*","chr1:9611866-9612128"
267,"chr1",9615954,9616154,201,"*","chr1:9615954-9616154"
268,"chr1",9619666,9620043,378,"*","chr1:9619666-9620043"
269,"chr1",9621476,9622047,572,"*","chr1:9621476-9622047"
270,"chr1",9627406,9628121,716,"*","chr1:9627406-9628121"
271,"chr1",9629007,9629701,695,"*","chr1:9629007-9629701"
272,"chr1",9630066,9631526,1461,"*","chr1:9630066-9631526"
273,"chr1",9631706,9632036,331,"*","chr1:9631706-9632036"
274,"chr1",9638740,9639465,726,"*","chr1:9638740-9639465"
275,"chr1",9641459,9641768,310,"*","chr1:9641459-9641768"
276,"chr1",9648731,9649870,1140,"*","chr1:9648731-9649870"
277,"chr1",9658408,9658905,498,"*","chr1:9658408-9658905"
278,"chr1",9659138,9659752,615,"*","chr1:9659138-9659752"
279,"chr1",9661161,9661620,460,"*","chr1:9661161-9661620"
280,"chr1",9687092,9687626,535,"*","chr1:9687092-9687626"
281,"chr1",9693842,9694282,441,"*","chr1:9693842-9694282"
282,"chr1",9699855,9701074,1220,"*","chr1:9699855-9701074"
283,"chr1",9722692,9722982,291,"*","chr1:9722692-9722982"
284,"chr1",9724753,9725098,346,"*","chr1:9724753-9725098"
285,"chr1",9731554,9731859,306,"*","chr1:9731554-9731859"
286,"chr1",9739011,9739211,201,"*","chr1:9739011-9739211"
287,"chr1",9747729,9748989,1261,"*","chr1:9747729-9748989"
288,"chr1",9755482,9756621,1140,"*","chr1:9755482-9756621"
289,"chr1",9763052,9763351,300,"*","chr1:9763052-9763351"
290,"chr1",9767940,9768328,389,"*","chr1:9767940-9768328"
291,"chr1",9768922,9769256,335,"*","chr1:9768922-9769256"
292,"chr1",9772970,9773457,488,"*","chr1:9772970-9773457"
293,"chr1",9776083,9776334,252,"*","chr1:9776083-9776334"
294,"chr1",9788224,9788666,443,"*","chr1:9788224-9788666"
295,"chr1",9797678,9798951,1274,"*","chr1:9797678-9798951"
296,"chr1",9799019,9799226,208,"*","chr1:9799019-9799226"
297,"chr1",9804693,9805088,396,"*","chr1:9804693-9805088"
298,"chr1",9805580,9805976,397,"*","chr1:9805580-9805976"
299,"chr1",9806875,9807245,371,"*","chr1:9806875-9807245"
300,"chr1",9810850,9811052,203,"*","chr1:9810850-9811052"
301,"chr1",9815968,9816237,270,"*","chr1:9815968-9816237"
302,"chr1",9822941,9824186,1246,"*","chr1:9822941-9824186"
303,"chr1",9839248,9839626,379,"*","chr1:9839248-9839626"
304,"chr1",9841808,9842254,447,"*","chr1:9841808-9842254"
305,"chr1",9847475,9847725,251,"*","chr1:9847475-9847725"
306,"chr1",9847879,9849058,1180,"*","chr1:9847879-9849058"
307,"chr1",9850276,9850722,447,"*","chr1:9850276-9850722"
308,"chr1",9857787,9858015,229,"*","chr1:9857787-9858015"
309,"chr1",9859181,9859474,294,"*","chr1:9859181-9859474"
310,"chr1",9866882,9867389,508,"*","chr1:9866882-9867389"
311,"chr1",9872605,9873023,419,"*","chr1:9872605-9873023"
312,"chr1",9876986,9877330,345,"*","chr1:9876986-9877330"
313,"chr1",9881211,9881428,218,"*","chr1:9881211-9881428"
314,"chr1",9882400,9882811,412,"*","chr1:9882400-9882811"
315,"chr1",9892622,9893080,459,"*","chr1:9892622-9893080"
316,"chr1",9893295,9893667,373,"*","chr1:9893295-9893667"
317,"chr1",9902548,9903303,756,"*","chr1:9902548-9903303"
318,"chr1",9904075,9904432,358,"*","chr1:9904075-9904432"
319,"chr1",9908658,9908952,295,"*","chr1:9908658-9908952"
320,"chr1",9912595,9912845,251,"*","chr1:9912595-9912845"
321,"chr1",9921483,9921938,456,"*","chr1:9921483-9921938"
322,"chr1",9931763,9932386,624,"*","chr1:9931763-9932386"
323,"chr1",9941811,9942046,236,"*","chr1:9941811-9942046"
324,"chr1",9943797,9944511,715,"*","chr1:9943797-9944511"
325,"chr1",9947851,9948087,237,"*","chr1:9947851-9948087"
326,"chr1",9951538,9952100,563,"*","chr1:9951538-9952100"
327,"chr1",9953113,9953428,316,"*","chr1:9953113-9953428"
328,"chr1",9953543,9953886,344,"*","chr1:9953543-9953886"
329,"chr1",9967077,9968554,1478,"*","chr1:9967077-9968554"
330,"chr1",9981856,9982185,330,"*","chr1:9981856-9982185"
331,"chr1",9985328,9986155,828,"*","chr1:9985328-9986155"
332,"chr1",9988306,9989356,1051,"*","chr1:9988306-9989356"
333,"chr1",9990210,9990450,241,"*","chr1:9990210-9990450"
334,"chr1",9992020,9992345,326,"*","chr1:9992020-9992345"
335,"chr1",9996590,9996820,231,"*","chr1:9996590-9996820"
336,"chr1",10004574,10004784,211,"*","chr1:10004574-10004784"
337,"chr1",10007275,10007738,464,"*","chr1:10007275-10007738"
338,"chr1",10008857,10009517,661,"*","chr1:10008857-10009517"
339,"chr1",10014064,10014414,351,"*","chr1:10014064-10014414"
340,"chr1",10014610,10014977,368,"*","chr1:10014610-10014977"
341,"chr1",10029027,10029592,566,"*","chr1:10029027-10029592"
342,"chr1",10037663,10038498,836,"*","chr1:10037663-10038498"
343,"chr1",10039645,10040566,922,"*","chr1:10039645-10040566"
344,"chr1",10056606,10056984,379,"*","chr1:10056606-10056984"
345,"chr1",10084160,10084912,753,"*","chr1:10084160-10084912"
346,"chr1",10089606,10090006,401,"*","chr1:10089606-10090006"
347,"chr1",10096198,10096777,580,"*","chr1:10096198-10096777"
348,"chr1",10099587,10100011,425,"*","chr1:10099587-10100011"
349,"chr1",10124160,10124424,265,"*","chr1:10124160-10124424"
350,"chr1",10132731,10132931,201,"*","chr1:10132731-10132931"
351,"chr1",10142647,10143441,795,"*","chr1:10142647-10143441"
352,"chr1",10154373,10154962,590,"*","chr1:10154373-10154962"
353,"chr1",10155902,10156427,526,"*","chr1:10155902-10156427"
354,"chr1",10161433,10161650,218,"*","chr1:10161433-10161650"
355,"chr1",10169821,10170969,1149,"*","chr1:10169821-10170969"
356,"chr1",10175762,10176155,394,"*","chr1:10175762-10176155"
357,"chr1",10211047,10211585,539,"*","chr1:10211047-10211585"
358,"chr1",10227187,10227766,580,"*","chr1:10227187-10227766"
359,"chr1",10229003,10229345,343,"*","chr1:10229003-10229345"
360,"chr1",10231691,10233696,2006,"*","chr1:10231691-10233696"
361,"chr1",10238865,10239813,949,"*","chr1:10238865-10239813"
362,"chr1",10247527,10248482,956,"*","chr1:10247527-10248482"
363,"chr1",10254077,10254571,495,"*","chr1:10254077-10254571"
364,"chr1",10256494,10257791,1298,"*","chr1:10256494-10257791"
365,"chr1",10259686,10260155,470,"*","chr1:10259686-10260155"
366,"chr1",10261247,10261582,336,"*","chr1:10261247-10261582"
367,"chr1",10263958,10264505,548,"*","chr1:10263958-10264505"
368,"chr1",10266297,10266859,563,"*","chr1:10266297-10266859"
369,"chr1",10279154,10279770,617,"*","chr1:10279154-10279770"
370,"chr1",10280360,10280631,272,"*","chr1:10280360-10280631"
371,"chr1",10281372,10281910,539,"*","chr1:10281372-10281910"
372,"chr1",10285135,10286083,949,"*","chr1:10285135-10286083"
373,"chr1",10300464,10301042,579,"*","chr1:10300464-10301042"
374,"chr1",10307697,10307986,290,"*","chr1:10307697-10307986"
375,"chr1",10311471,10311848,378,"*","chr1:10311471-10311848"
376,"chr1",10317960,10318631,672,"*","chr1:10317960-10318631"
377,"chr1",10348398,10348876,479,"*","chr1:10348398-10348876"
378,"chr1",10349095,10349438,344,"*","chr1:10349095-10349438"
379,"chr1",10380804,10381374,571,"*","chr1:10380804-10381374"
380,"chr1",10397073,10397588,516,"*","chr1:10397073-10397588"
381,"chr1",10398117,10398317,201,"*","chr1:10398117-10398317"
382,"chr1",10403778,10404573,796,"*","chr1:10403778-10404573"
383,"chr1",10430108,10430369,262,"*","chr1:10430108-10430369"
384,"chr1",10430762,10431138,377,"*","chr1:10430762-10431138"
385,"chr1",10432510,10433089,580,"*","chr1:10432510-10433089"
386,"chr1",10441720,10441931,212,"*","chr1:10441720-10441931"
387,"chr1",10453926,10454243,318,"*","chr1:10453926-10454243"
388,"chr1",10488469,10488670,202,"*","chr1:10488469-10488670"
389,"chr1",10491959,10492376,418,"*","chr1:10491959-10492376"
390,"chr1",10493677,10493927,251,"*","chr1:10493677-10493927"
391,"chr1",10504879,10505098,220,"*","chr1:10504879-10505098"
392,"chr1",10521097,10521810,714,"*","chr1:10521097-10521810"
393,"chr1",10561630,10562106,477,"*","chr1:10561630-10562106"
394,"chr1",10579445,10579966,522,"*","chr1:10579445-10579966"
395,"chr1",10592749,10593142,394,"*","chr1:10592749-10593142"
396,"chr1",10636239,10636889,651,"*","chr1:10636239-10636889"
397,"chr1",10665978,10666260,283,"*","chr1:10665978-10666260"
398,"chr1",10680683,10681226,544,"*","chr1:10680683-10681226"
399,"chr1",10694857,10695136,280,"*","chr1:10694857-10695136"
400,"chr1",10700259,10700587,329,"*","chr1:10700259-10700587"
401,"chr1",10719891,10720235,345,"*","chr1:10719891-10720235"
402,"chr1",10721079,10721463,385,"*","chr1:10721079-10721463"
403,"chr1",10722237,10723195,959,"*","chr1:10722237-10723195"
404,"chr1",10759762,10760485,724,"*","chr1:10759762-10760485"
405,"chr1",10771994,10772217,224,"*","chr1:10771994-10772217"
406,"chr1",10815248,10815522,275,"*","chr1:10815248-10815522"
407,"chr1",10835891,10836440,550,"*","chr1:10835891-10836440"
408,"chr1",10837451,10837651,201,"*","chr1:10837451-10837651"
409,"chr1",10874502,10874702,201,"*","chr1:10874502-10874702"
410,"chr1",10877518,10877966,449,"*","chr1:10877518-10877966"
411,"chr1",10878338,10878625,288,"*","chr1:10878338-10878625"
412,"chr1",10880141,10880850,710,"*","chr1:10880141-10880850"
413,"chr1",10918868,10919120,253,"*","chr1:10918868-10919120"
414,"chr1",10932960,10933240,281,"*","chr1:10932960-10933240"
415,"chr1",10941870,10942084,215,"*","chr1:10941870-10942084"
416,"chr1",10943178,10943530,353,"*","chr1:10943178-10943530"
417,"chr1",10965983,10966291,309,"*","chr1:10965983-10966291"
418,"chr1",10990865,10991587,723,"*","chr1:10990865-10991587"
419,"chr1",10993262,10994215,954,"*","chr1:10993262-10994215"
420,"chr1",11006463,11007050,588,"*","chr1:11006463-11007050"
421,"chr1",11011016,11011854,839,"*","chr1:11011016-11011854"
422,"chr1",11011999,11012662,664,"*","chr1:11011999-11012662"
